Time,{},{}
2025-08-18 09:14:20,7.452688133796077e-05,
2025-08-18 09:14:25,7.369434349854682e-05,
2025-08-18 09:14:30,6.928860400431568e-05,
2025-08-18 09:14:35,7.1112208356087e-05,
2025-08-18 09:14:40,7.1112208356087e-05,
2025-08-18 09:14:45,7.401102764311881e-05,
2025-08-18 09:14:50,7.362904835870938e-05,
2025-08-18 09:14:55,7.044022482393266e-05,
2025-08-18 09:15:00,6.421537015378898e-05,
2025-08-18 09:15:05,6.799412885478673e-05,
2025-08-18 09:15:10,6.746367943769808e-05,
2025-08-18 09:15:15,6.472961964243988e-05,
2025-08-18 09:15:20,5.833082405689304e-05,
2025-08-18 09:15:25,4.892345466859711e-05,
2025-08-18 09:15:30,4.923371243291906e-05,
2025-08-18 09:15:35,5.232113057701945e-05,
2025-08-18 09:15:40,5.232113057701945e-05,
2025-08-18 09:15:45,5.2914408005362e-05,
2025-08-18 09:15:50,5.2631886736179735e-05,
2025-08-18 09:15:55,5.158757269316408e-05,
2025-08-18 09:16:00,5.164979207468838e-05,
2025-08-18 09:16:05,5.183734592788849e-05,
2025-08-18 09:16:10,5.050658100750528e-05,
2025-08-18 09:16:15,4.528271018481189e-05,
2025-08-18 09:16:20,4.375205999282467e-05,
2025-08-18 09:16:25,5.0505487782001e-05,
2025-08-18 09:16:30,5.2139627103023674e-05,
2025-08-18 09:16:35,5.2139627103023674e-05,
2025-08-18 09:16:40,5.2139627103023674e-05,
2025-08-18 09:16:45,5.4010099888679176e-05,
2025-08-18 09:16:50,5.5189942900783395e-05,
2025-08-18 09:16:55,5.357447486440723e-05,
2025-08-18 09:17:00,5.348225796463415e-05,
2025-08-18 09:17:05,4.9043153647873034e-05,
2025-08-18 09:17:10,5.3685432385374336e-05,
2025-08-18 09:17:15,4.872987026388657e-05,
2025-08-18 09:17:20,5.564052227903579e-05,
2025-08-18 09:17:25,6.240152259715136e-05,
2025-08-18 09:17:30,5.479041996188724e-05,
2025-08-18 09:17:35,6.003919154035017e-05,
2025-08-18 09:17:40,6.003919154035017e-05,
2025-08-18 09:17:45,6.245756958587917e-05,
2025-08-18 09:17:50,5.767128707559634e-05,
2025-08-18 09:17:55,6.047256089715547e-05,
2025-08-18 09:18:00,6.0389732203659866e-05,
2025-08-18 09:18:05,6.260923313014195e-05,
2025-08-18 09:18:10,6.446197374155515e-05,
2025-08-18 09:18:15,6.374416209715459e-05,
2025-08-18 09:18:20,6.363707071492713e-05,
2025-08-18 09:18:25,6.433035595664135e-05,
2025-08-18 09:18:30,6.734495804145015e-05,
2025-08-18 09:18:35,6.734495804145015e-05,
2025-08-18 09:18:40,6.734495804145015e-05,
2025-08-18 09:18:45,6.950610944517103e-05,
2025-08-18 09:18:50,6.989614830285162e-05,
2025-08-18 09:18:55,6.72509144805724e-05,
2025-08-18 09:19:00,6.723531040301636e-05,
2025-08-18 09:28:30,,
2025-08-18 09:28:35,,0.0
2025-08-18 09:28:40,,0.0
2025-08-18 09:28:45,,0.0
2025-08-18 09:28:50,,0.0
2025-08-18 09:28:55,,0.0
2025-08-18 09:29:00,,0.0
2025-08-18 09:29:05,,0.0
2025-08-18 09:29:10,,0.0
2025-08-18 09:29:15,,0.0
2025-08-18 09:29:20,,0.0
2025-08-18 09:29:25,,0.0
2025-08-18 09:29:30,,0.0
2025-08-18 09:29:35,,0.0
2025-08-18 09:29:40,,0.0
2025-08-18 09:29:45,,0.0
2025-08-18 09:29:50,,0.0
2025-08-18 09:29:55,,0.0
2025-08-18 09:30:00,,0.0
2025-08-18 09:30:05,,0.0
2025-08-18 09:30:10,,0.0
2025-08-18 09:30:15,,0.0
2025-08-18 09:30:20,,0.0007876744698950819
2025-08-18 09:30:25,,0.0015836930700656466
2025-08-18 09:30:30,,0.0018462844495874535
2025-08-18 09:30:35,,0.0018462844495874535
2025-08-18 09:30:40,,0.0018452603499906392
2025-08-18 09:30:45,,0.0018448657864312578
2025-08-18 09:30:50,,0.0018448657864312578
2025-08-18 09:30:55,,0.0018448657864312578
2025-08-18 09:31:00,,0.0018448733499187183
2025-08-18 09:31:05,,0.0018437731252603606
2025-08-18 09:31:10,,0.0018437731252603606
2025-08-18 09:31:15,,0.0021585026097047026
2025-08-18 09:31:20,,0.0028210447641582636
2025-08-18 09:31:25,,0.003071870117396899
2025-08-18 09:31:30,,0.0031726265074463055
2025-08-18 09:31:35,,0.003234211679698631
2025-08-18 09:31:40,,0.0032334393449861606
2025-08-18 09:31:45,,0.003233024367476647
2025-08-18 09:31:50,,0.003233024367476647
2025-08-18 09:31:55,,0.003233024367476647
2025-08-18 09:32:00,,0.0032340282167983626
2025-08-18 09:32:05,,0.0032328603359790225
2025-08-18 09:32:10,,0.0032328603359790225
2025-08-18 09:32:15,,0.003302029152037352
2025-08-18 09:32:20,,0.0035665574976345205
