Time,{},{}
2025-08-18 09:13:30,18499401.099369355,
2025-08-18 09:13:35,18499401.099369355,
2025-08-18 09:13:40,18499401.099369355,
2025-08-18 09:13:45,18499401.099369355,
2025-08-18 09:13:50,12994572.126843218,
2025-08-18 09:13:55,10504347.121820617,
2025-08-18 09:14:00,10504347.121820617,
2025-08-18 09:14:05,10504347.121820617,
2025-08-18 09:14:10,10504347.121820617,
2025-08-18 09:14:15,10504347.121820617,
2025-08-18 09:14:20,10504347.121820617,
2025-08-18 09:14:25,23190161.034118585,
2025-08-18 09:14:30,23190161.034118585,
2025-08-18 09:14:35,23190161.034118585,
2025-08-18 09:14:40,23190161.034118585,
2025-08-18 09:14:45,23190161.034118585,
2025-08-18 09:14:50,23190161.034118585,
2025-08-18 09:14:55,16048306.566548254,
2025-08-18 09:15:00,16048306.566548254,
2025-08-18 09:15:05,16048306.566548254,
2025-08-18 09:15:10,16048306.566548254,
2025-08-18 09:15:15,23432795.90755638,
2025-08-18 09:15:20,27137910.85649602,
2025-08-18 09:15:25,32337031.89743981,
2025-08-18 09:15:30,32337031.897439815,
2025-08-18 09:15:35,32337031.897439815,
2025-08-18 09:15:40,28060324.69137049,
2025-08-18 09:15:45,26712948.362310503,
2025-08-18 09:15:50,25365572.033250507,
2025-08-18 09:15:55,16090674.412500001,
2025-08-18 09:16:00,16567927.511390757,
2025-08-18 09:16:05,16567927.511390757,
2025-08-18 09:16:10,16567927.511390757,
2025-08-18 09:16:15,16567927.511390757,
2025-08-18 09:16:20,16567927.511390757,
2025-08-18 09:16:25,27073585.489139777,
2025-08-18 09:16:30,27073585.489139777,
2025-08-18 09:16:35,27073585.489139777,
2025-08-18 09:16:40,27073585.489139777,
2025-08-18 09:16:45,27073585.489139777,
2025-08-18 09:16:50,27073585.48913978,
2025-08-18 09:16:55,13217001.137733866,
2025-08-18 09:17:00,13217001.13773387,
2025-08-18 09:17:05,13217001.13773387,
2025-08-18 09:17:10,13217001.13773387,
2025-08-18 09:17:15,19779843.698966756,
2025-08-18 09:17:20,20845229.362951092,
2025-08-18 09:17:25,21910615.02693542,
2025-08-18 09:17:30,25569255.935624026,
2025-08-18 09:17:35,25569255.935624026,
2025-08-18 09:17:40,25569255.935624026,
2025-08-18 09:17:45,21498310.77497349,
2025-08-18 09:17:50,20432925.110989153,
2025-08-18 09:17:55,18163401.873375833,
2025-08-18 09:18:00,12275592.21274375,
2025-08-18 09:18:05,12275592.21274375,
2025-08-18 09:18:10,12275592.21274375,
2025-08-18 09:18:15,12275592.21274375,
2025-08-18 09:18:20,12275592.21274375,
2025-08-18 09:18:25,17301081.539572123,
2025-08-18 09:18:30,24942082.711128775,
2025-08-18 09:18:35,24942082.711128775,
2025-08-18 09:18:40,24942082.711128775,
2025-08-18 09:18:45,24942082.711128775,
2025-08-18 09:18:50,24942082.711128775,
2025-08-18 09:18:55,16402687.526094995,
2025-08-18 09:19:00,16402687.526094995,
2025-08-18 09:28:30,,5908.700959023539
2025-08-18 09:28:35,,5908.700959023539
2025-08-18 09:28:40,,5908.700959023539
2025-08-18 09:28:45,,5908.700959023539
2025-08-18 09:28:50,,843775.8093661866
2025-08-18 09:28:55,,1111400.6052581805
2025-08-18 09:29:00,,1111400.6052581805
2025-08-18 09:29:05,,1111400.6052581805
2025-08-18 09:29:10,,1111400.6052581805
2025-08-18 09:29:15,,1111400.6052581805
2025-08-18 09:29:20,,1247889.0874999997
2025-08-18 09:29:25,,4423951.132127957
2025-08-18 09:29:30,,5236658.750848124
2025-08-18 09:29:35,,5236658.750848124
2025-08-18 09:29:40,,5236658.750848124
2025-08-18 09:29:45,,5236658.750848124
2025-08-18 09:29:50,,4821554.838237715
2025-08-18 09:29:55,,4821554.838237715
2025-08-18 09:30:00,,5839155.537576611
2025-08-18 09:30:05,,5839155.537576611
2025-08-18 09:30:10,,5839155.537576611
2025-08-18 09:30:15,,5839155.537576611
2025-08-18 09:30:20,,8445849.85813802
2025-08-18 09:30:25,,8445849.85813802
2025-08-18 09:30:30,,8445849.85813802
2025-08-18 09:30:35,,8445849.85813802
2025-08-18 09:30:40,,8445849.85813802
2025-08-18 09:30:45,,8445849.85813802
2025-08-18 09:30:50,,7313658.531547967
2025-08-18 09:30:55,,7894757.302560404
2025-08-18 09:31:00,,7894757.302560404
2025-08-18 09:31:05,,7894757.302560404
2025-08-18 09:31:10,,7894757.302560404
2025-08-18 09:31:15,,7894757.302560404
2025-08-18 09:31:20,,7894757.302560404
2025-08-18 09:31:25,,11668022.163713219
2025-08-18 09:31:30,,11668022.163713219
2025-08-18 09:31:35,,11668022.163713219
2025-08-18 09:31:40,,11668022.163713219
2025-08-18 09:31:45,,11668022.163713219
2025-08-18 09:31:50,,12359322.621669408
2025-08-18 09:31:55,,12223740.906291807
2025-08-18 09:32:00,,12223740.906291807
2025-08-18 09:32:05,,12223740.906291807
2025-08-18 09:32:10,,12223740.906291807
2025-08-18 09:32:15,,12223740.906291807
