Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-11 13:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8373.0,189.0,139.0,1523.0,343.0,20.0,186.0,,126.0,165.0,424.0,6482.0,2959.0,978.0,3346.0,,,,,,,,,,,,,,,
2025-08-11 13:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15314.0,172.0,137.0,1844.0,396.0,26.0,221.0,,140.0,260.0,485.0,7579.0,2429.0,1110.0,3648.0,,,,,,,,,,,,,,,
2025-08-11 13:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14870.0,190.0,232.0,1465.0,343.0,22.0,294.0,,121.0,192.0,502.0,6240.0,3084.0,937.0,3379.0,,,,,,,,,,,,,,,
2025-08-11 13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17389.0,192.0,160.0,1519.0,366.0,24.0,316.0,52.0,175.0,326.0,495.0,7962.0,2379.0,1010.0,3452.0,,,,,,,,,,,,,,,
2025-08-11 13:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19872.0,178.0,161.0,1709.0,349.0,27.0,111.0,,156.0,294.0,244.0,7780.0,3524.0,955.0,3642.0,,,,,,,,,,,,,,,
2025-08-11 13:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36085.0,170.0,232.0,607.0,345.0,71.0,983.0,49.0,165.0,215.0,309.0,4386.0,3315.0,898.0,3524.0
2025-08-11 13:51:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38827.0,170.0,142.0,606.0,323.0,48.0,118.0,,130.0,159.0,279.0,5146.0,3197.0,772.0,3589.0
2025-08-11 13:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20166.0,184.0,226.0,1222.0,307.0,28.0,112.0,,148.0,236.0,289.0,4922.0,3232.0,990.0,3789.0
2025-08-11 13:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40921.0,225.0,123.0,999.0,164.0,49.0,730.0,,127.0,131.0,316.0,6994.0,3094.0,1021.0,4471.0
2025-08-11 13:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40921.0,225.0,123.0,999.0,164.0,49.0,730.0,,127.0,131.0,316.0,6994.0,3094.0,1021.0,4471.0
2025-08-11 13:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42143.0,174.0,152.0,593.0,311.0,57.0,85.0,,158.0,199.0,257.0,4438.0,2180.0,815.0,3557.0
2025-08-11 13:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36989.0,182.0,151.0,650.0,322.0,36.0,120.0,,151.0,161.0,342.0,4555.0,2230.0,742.0,4258.0
2025-08-11 13:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10736.0,172.0,303.0,1290.0,313.0,23.0,105.0,,148.0,259.0,311.0,4554.0,3272.0,1055.0,3469.0
2025-08-11 13:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37852.0,192.0,132.0,852.0,308.0,57.0,131.0,,130.0,182.0,302.0,4898.0,2268.0,997.0,3184.0
2025-08-11 13:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37909.0,220.0,143.0,634.0,237.0,61.0,125.0,,135.0,173.0,277.0,5929.0,2996.0,508.0,2775.0
2025-08-11 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39193.0,159.0,135.0,582.0,319.0,26.0,128.0,70.0,138.0,176.0,394.0,5110.0,3287.0,843.0,3551.0
