Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_28"",instance=""10.42.1.28:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_19"",instance=""10.42.1.19:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_27"",instance=""10.42.1.27:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_22"",instance=""10.42.1.22:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_1_25"",instance=""10.42.1.25:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-23 13:12:35,,,,,0.1355
2025-07-23 13:12:40,,,,,0.1355
2025-07-23 13:12:45,,,,,0.146
2025-07-23 13:12:50,,,,,0.2395
2025-07-23 13:12:55,,,,,0.156
2025-07-23 13:13:00,,,,,0.1385
2025-07-23 13:13:05,,,,,0.1245
2025-07-23 13:13:10,,,,,0.1305
2025-07-23 13:13:15,,,,,0.133
2025-07-23 13:13:20,,,,,0.2365
2025-07-23 13:13:25,,,,,0.166
2025-07-23 13:13:30,,,,,0.158
2025-07-23 13:13:35,,,,,0.1445
2025-07-23 13:13:40,,,,,0.1475
2025-07-23 13:13:45,,,,,0.1825
2025-07-23 13:13:50,,,,,0.247
2025-07-23 13:13:55,,,,,0.1535
2025-07-23 13:14:00,,,,,0.1485
2025-07-23 13:20:00,,,0.0695,,
2025-07-23 13:20:05,,,0.028,,
2025-07-23 13:20:10,,,0.1115,,
2025-07-23 13:20:15,,,0.0685,,
2025-07-23 13:20:20,,,0.031,,
2025-07-23 13:20:25,,,0.0305,,
2025-07-23 13:20:30,,,0.027,,
2025-07-23 13:20:35,,,0.028,,
2025-07-23 13:20:40,,,0.0575,,
2025-07-23 13:20:45,,,0.0265,,
2025-07-23 13:20:50,,,0.0305,,
2025-07-23 13:20:55,,,0.0275,,
2025-07-23 13:21:00,,,0.026,,
2025-07-23 13:21:05,,,0.026,,
2025-07-23 13:21:10,,,0.054,,
2025-07-23 13:21:15,,,0.028,,
2025-07-23 13:21:20,,,0.028,,
2025-07-23 13:21:25,,,0.029,,
2025-07-23 13:21:30,,,0.0285,,
2025-07-23 13:21:35,,,0.026,,
2025-07-23 13:21:40,,,0.0595,,
2025-07-23 13:21:45,,,0.0265,,
2025-07-23 13:21:50,,,0.031,,
2025-07-23 13:21:55,,,0.0255,,
2025-07-23 13:22:00,,,0.0255,,
2025-07-23 13:22:05,,,0.0255,,
2025-07-23 13:22:10,,,0.1055,,
2025-07-23 13:22:15,,,0.04,,
2025-07-23 13:22:20,,,0.0255,,
2025-07-23 13:22:25,,,0.0255,,
2025-07-23 13:22:30,,,0.0265,,
2025-07-23 13:22:35,,,0.028,,
2025-07-23 13:22:40,,,0.0715,,
2025-07-23 13:22:45,,,0.0365,,
2025-07-23 13:22:50,,,0.029,,
2025-07-23 13:22:55,,,0.034,,
2025-07-23 13:23:00,,,0.027,,
2025-07-23 13:23:05,,,0.03,,
2025-07-23 13:23:10,,,0.057,,
2025-07-23 13:23:15,,,0.029,,
2025-07-23 13:23:20,,,0.026,,
2025-07-23 13:23:25,,,0.0245,,
2025-07-23 13:23:30,,,0.026,,
2025-07-23 13:23:35,,,0.0255,,
2025-07-23 13:23:40,,,0.0555,,
2025-07-23 13:23:45,,,0.0255,,
2025-07-23 13:23:50,,,0.0365,,
2025-07-23 13:23:55,,,0.027,,
2025-07-23 13:24:00,,,0.028,,
2025-07-23 13:24:05,,,0.0285,,
2025-07-23 13:24:10,,,0.1035,,
2025-07-23 13:24:15,,,0.0485,,
2025-07-23 13:24:20,,,0.029,,
2025-07-23 13:24:25,,,0.048,,
2025-07-23 13:24:30,,,0.0275,,
2025-07-23 13:24:35,,,0.028,,
2025-07-23 13:24:40,,,0.05,,
2025-07-23 13:24:45,,,0.0235,,
2025-07-23 13:24:50,,,0.0315,,
2025-07-23 13:24:55,,,0.0255,,
2025-07-23 13:25:00,,,0.0265,,
2025-07-23 13:30:00,0.052551020408163264,,,,
2025-07-23 13:30:05,0.0275,,,,
2025-07-23 13:30:10,0.036,,,,
2025-07-23 13:30:15,0.033,,,,
2025-07-23 13:30:20,0.0335,,,,
2025-07-23 13:30:25,0.073,,,,
2025-07-23 13:30:30,0.057352941176470586,,,,
2025-07-23 13:30:35,0.03163265306122449,,,,
2025-07-23 13:30:40,0.039,,,,
2025-07-23 13:30:45,0.05,,,,
2025-07-23 13:30:50,0.024,,,,
2025-07-23 13:30:55,0.023,,,,
2025-07-23 13:31:00,0.056372549019607844,,,,
2025-07-23 13:31:05,0.02806122448979592,,,,
2025-07-23 13:31:10,0.023,,,,
2025-07-23 13:31:15,0.0285,,,,
2025-07-23 13:31:20,0.023,,,,
2025-07-23 13:31:25,0.027450980392156862,,,,
2025-07-23 13:31:30,0.0705,,,,
2025-07-23 13:31:35,0.03214285714285714,,,,
2025-07-23 13:31:40,0.024,,,,
2025-07-23 13:31:45,0.024,,,,
2025-07-23 13:31:50,0.02696078431372549,,,,
2025-07-23 13:31:55,0.026020408163265306,,,,
2025-07-23 13:32:00,0.04068627450980392,,,,
2025-07-23 13:32:05,0.023979591836734693,,,,
2025-07-23 13:32:10,0.0235,,,,
2025-07-23 13:32:15,0.03,,,,
2025-07-23 13:32:20,0.023,,,,
2025-07-23 13:32:25,0.0295,,,,
2025-07-23 13:32:30,0.046,,,,
2025-07-23 13:32:35,0.0235,,,,
2025-07-23 13:32:40,0.0265,,,,
2025-07-23 13:32:45,0.03,,,,
2025-07-23 13:32:50,0.0225,,,,
2025-07-23 13:32:55,0.0235,,,,
2025-07-23 13:33:00,0.0525,,,,
2025-07-23 13:33:05,0.0285,,,,
2025-07-23 13:33:10,0.023,,,,
2025-07-23 13:33:15,0.025,,,,
2025-07-23 13:33:20,0.023,,,,
2025-07-23 13:33:25,0.0275,,,,
2025-07-23 13:33:30,0.093,,,,
2025-07-23 13:33:35,0.026,,,,
2025-07-23 13:33:40,0.027,,,,
2025-07-23 13:33:45,0.0555,,,,
2025-07-23 13:33:50,0.033,,,,
2025-07-23 13:33:55,0.024,,,,
2025-07-23 13:34:00,0.0435,,,,
2025-07-23 13:34:05,0.027,,,,
2025-07-23 13:34:10,0.0245,,,,
2025-07-23 13:34:15,0.027941176470588237,,,,
2025-07-23 13:34:20,0.024489795918367346,,,,
2025-07-23 13:34:25,0.025,,,,
2025-07-23 13:34:30,0.0475,,,,
2025-07-23 13:34:35,0.0435,,,,
2025-07-23 13:34:40,0.02696078431372549,,,,
2025-07-23 13:34:45,0.025510204081632654,,,,
2025-07-23 13:34:50,0.0245,,,,
2025-07-23 13:34:55,0.025,,,,
2025-07-23 13:35:00,0.075,,,,
