Time,"{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}","{api=""storage.CreateFile""}","{api=""storage.Delete""}","{api=""storage.DeleteBulk""}","{api=""storage.DeleteVersion""}","{api=""storage.DeleteVersions""}","{api=""storage.DiskInfo""}","{api=""storage.ListVols""}","{api=""storage.MakeVol""}","{api=""storage.ReadParts""}","{api=""storage.ReadVersion""}","{api=""storage.ReadXL""}","{api=""storage.RenameData""}","{api=""storage.RenamePart""}","{api=""storage.WalkDir""}","{api=""storage.WriteMetadata""}"
2025-08-13 08:57:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695.0,216.0,146.0,1604.0,358.0,44.0,97.0,,152.0,176.0,474.0,9748.0,2168.0,925.0,3880.0,,,,,,,,,,,,,,,
2025-08-13 08:58:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25946.0,179.0,134.0,1792.0,345.0,29.0,110.0,,142.0,264.0,402.0,9771.0,2732.0,956.0,3699.0,,,,,,,,,,,,,,,
2025-08-13 09:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10043.0,182.0,158.0,1448.0,354.0,92.0,71.0,,187.0,209.0,285.0,5810.0,2886.0,1001.0,3601.0
2025-08-13 09:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305836.0,277.0,183.0,924.0,455.0,44.0,526.0,,279.0,267.0,248.0,41701.0,3698.0,1213.0,4838.0
2025-08-13 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68451.0,250.0,162.0,668.0,284.0,61.0,95.0,43.0,150.0,135.0,239.0,6478.0,2237.0,1075.0,3451.0
2025-08-13 09:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111054.0,244.0,198.0,622.0,363.0,27.0,153.0,,124.0,396.0,363.0,17947.0,3238.0,721.0,3448.0
2025-08-13 09:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32935.0,188.0,126.0,1504.0,338.0,68.0,104.0,,367.0,249.0,220.0,7461.0,2683.0,1135.0,3705.0
2025-08-13 09:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82591.0,278.0,195.0,581.0,340.0,32.0,211.0,,143.0,155.0,278.0,16003.0,3030.0,816.0,3752.0
2025-08-13 09:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38762.0,232.0,232.0,1508.0,360.0,61.0,118.0,,125.0,206.0,233.0,8581.0,3229.0,1157.0,3872.0
2025-08-13 09:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93541.0,184.0,165.0,688.0,366.0,32.0,327.0,46.0,162.0,190.0,298.0,18885.0,2864.0,902.0,2949.0
2025-08-13 09:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93541.0,184.0,165.0,688.0,366.0,32.0,327.0,46.0,162.0,190.0,298.0,18885.0,2864.0,902.0,2949.0
2025-08-13 09:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54304.0,198.0,194.0,1546.0,351.0,67.0,251.0,,131.0,154.0,209.0,24537.0,2598.0,965.0,3173.0
2025-08-13 09:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99117.0,228.0,133.0,599.0,320.0,43.0,528.0,,244.0,297.0,324.0,30965.0,2774.0,776.0,3802.0
